Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
94.9,9192354739,1024,8976908.9,9002242.5,2244433,15642497,409292.8,cudaEventSynchronize
1.9,182548084,1096,166558.5,172936.0,18027,1029429,43974.8,cudaGraphLaunch_v10000
1.5,146761765,15504,9466.1,8707.0,5106,425878,5209.6,cudaLaunchKernel
0.6,57895469,7242,7994.4,7397.5,5395,85089,2484.4,cuLaunchKernelEx
0.4,38600119,4168,9261.1,10061.0,4002,41357,3551.0,cudaMemcpyAsync
0.3,28179390,6216,4533.4,4711.0,1782,74524,2097.7,cudaEventRecordWithFlags_v11010
0.2,16045431,8310,1930.9,1597.0,718,25568,1234.9,cudaEventQuery
0.1,6546700,11410,573.8,400.0,272,18457,436.8,cudaStreamIsCapturing_v10000
0.0,3650987,2048,1782.7,1976.0,938,14532,830.6,cudaEventCreateWithFlags
0.0,2981060,2048,1455.6,1561.0,961,11383,551.6,cudaEventDestroy
0.0,2452459,13312,184.2,162.0,93,13267,271.3,cuKernelGetName
0.0,2448154,1024,2390.8,2341.0,2188,14033,640.4,cudaStreamWaitEvent
0.0,2026368,3072,659.6,591.0,301,19245,535.9,cudaStreamGetCaptureInfo_v3_v12030
0.0,1302717,2,651358.5,651358.5,258368,1044349,555772.5,cudaMalloc
0.0,339798,11,30890.7,17131.0,8900,141170,37405.5,cudaHostAlloc
0.0,5465,1,5465.0,5465.0,5465,5465,0.0,cuProfilerStart
