Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
92.5,598852928,64,9357077.0,9669046.5,5501,11805566,1781826.5,cudaEventSynchronize
2.2,14342609,136,105460.4,50426.5,16124,1059972,110385.8,cudaGraphLaunch_v10000
1.7,11273273,1177,9578.0,8971.0,4484,58254,4476.5,cudaLaunchKernel
0.9,5786925,1,5786925.0,5786925.0,5786925,5786925,0.0,cuIpcOpenMemHandle_v2
0.6,3929738,462,8505.9,7658.5,5520,37281,3306.1,cuLaunchKernelEx
0.5,3503577,340,10304.6,10791.0,4124,37370,4209.2,cudaMemcpyAsync
0.4,2271495,1848,1229.2,615.0,546,501088,12601.4,cuStreamAddCallback
0.3,1948021,3976,489.9,442.0,385,16699,379.2,cuEventQuery
0.3,1836918,396,4638.7,4764.0,1752,16685,1647.1,cudaEventRecordWithFlags_v11010
0.2,1017961,502,2027.8,1621.5,764,13933,1209.2,cudaEventQuery
0.1,660883,2,330441.5,330441.5,254512,406371,107380.5,cudaMalloc
0.1,429319,730,588.1,407.5,274,7673,396.4,cudaStreamIsCapturing_v10000
0.1,337046,72,4681.2,3845.5,2873,30619,4324.1,cuMemcpyDtoDAsync_v2
0.0,262531,10,26253.1,19387.0,8589,89822,23267.4,cudaHostAlloc
0.0,243791,128,1904.6,1901.5,1131,6975,880.5,cudaEventCreateWithFlags
0.0,190601,128,1489.1,1515.0,1076,6913,574.4,cudaEventDestroy
0.0,165566,833,198.8,165.0,100,1956,151.1,cuKernelGetName
0.0,156321,64,2442.5,2394.0,2283,3956,251.8,cudaStreamWaitEvent
0.0,146380,72,2033.1,1827.0,1486,8880,1069.7,cuEventRecord
0.0,137427,192,715.8,602.5,309,7279,657.0,cudaStreamGetCaptureInfo_v3_v12030
0.0,66345,128,518.3,328.0,237,3750,604.5,cuEventCreate
0.0,56229,1,56229.0,56229.0,56229,56229,0.0,cuStreamCreate
0.0,9271,72,128.8,114.0,94,640,79.6,cuCtxGetId
0.0,3799,1,3799.0,3799.0,3799,3799,0.0,cuProfilerStart
