Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.1,9087122754,1027,8848220.8,8950186.0,5321,11086105,914038.9,cudaEventSynchronize
1.7,163861719,16766,9773.5,9070.0,4461,144528,4370.8,cudaLaunchKernel
1.2,112983134,1315,85918.7,99053.0,13767,1036229,51818.9,cudaGraphLaunch_v10000
0.6,61601812,7359,8370.9,7662.0,5553,37665,2446.5,cuLaunchKernelEx
0.5,43490885,4342,10016.3,10823.5,4201,37722,3729.5,cudaMemcpyAsync
0.3,30764857,6324,4864.8,5093.5,1899,78818,2201.1,cudaEventRecordWithFlags_v11010
0.2,17809985,8488,2098.3,1753.0,750,22223,1355.0,cudaEventQuery
0.1,6730507,11623,579.1,401.0,271,12632,392.2,cudaStreamIsCapturing_v10000
0.1,5685503,1,5685503.0,5685503.0,5685503,5685503,0.0,cuIpcOpenMemHandle_v2
0.0,4100693,2054,1996.4,2106.5,1009,15348,1183.6,cudaEventCreateWithFlags
0.0,3469785,4762,728.6,477.0,385,421500,6119.2,cuEventQuery
0.0,3221421,2054,1568.4,1679.5,990,15138,694.6,cudaEventDestroy
0.0,2751565,1827,1506.1,695.0,614,205703,5398.2,cuStreamAddCallback
0.0,2521026,13848,182.0,163.0,93,8499,119.1,cuKernelGetName
0.0,2500979,1027,2435.2,2355.0,2207,19877,943.8,cudaStreamWaitEvent
0.0,2138384,3081,694.1,622.0,300,14607,497.0,cudaStreamGetCaptureInfo_v3_v12030
0.0,1730598,360,4807.2,4298.5,3049,34236,2317.8,cuMemcpyDtoDAsync_v2
0.0,918319,360,2550.9,2456.5,1788,9767,596.7,cuEventRecord
0.0,736811,2,368405.5,368405.5,321173,415638,66796.8,cudaMalloc
0.0,484257,21,23059.9,16261.0,10990,88196,16468.5,cudaHostAlloc
0.0,72470,128,566.2,334.0,239,4763,643.1,cuEventCreate
0.0,59643,1,59643.0,59643.0,59643,59643,0.0,cuStreamCreate
0.0,41949,360,116.5,112.0,86,649,40.5,cuCtxGetId
0.0,6113,1,6113.0,6113.0,6113,6113,0.0,cuProfilerStart
0.0,2286,1,2286.0,2286.0,2286,2286,0.0,cuLibraryGetKernel
