Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
48.5,2016656723,293328,6875.1,6813.0,1484,133522,922.7,cuStreamSynchronize
25.0,1040048918,293328,3545.7,3424.0,2660,202755,1005.5,cuMemcpyAsync
23.2,962792404,128,7521815.7,7844488.5,7179,7930958,1424787.3,cudaEventSynchronize
0.9,38908369,293328,132.6,133.0,87,103109,220.0,cuCtxGetId
0.8,32716703,272,120282.0,63040.5,16964,1321371,133813.5,cudaGraphLaunch_v10000
0.6,22950153,2354,9749.4,9080.5,4402,88467,4759.0,cudaLaunchKernel
0.4,14806943,1,14806943.0,14806943.0,14806943,14806943,0.0,cudaProfilerStop
0.2,8957810,1052,8515.0,7955.0,5469,41239,3304.4,cuLaunchKernelEx
0.2,6845306,680,10066.6,10692.5,4115,31565,3647.6,cudaMemcpyAsync
0.1,3445690,792,4350.6,4466.0,1990,15637,1492.9,cudaEventRecordWithFlags_v11010
0.1,2365838,1000,2365.8,1751.0,874,67966,2590.0,cudaEventQuery
0.0,1278824,2,639412.0,639412.0,526444,752380,159760.9,cudaMalloc
0.0,1234683,256,4823.0,6050.0,2508,21760,2504.5,cudaEventRecord
0.0,785517,1458,538.8,397.0,275,3374,260.0,cudaStreamIsCapturing_v10000
0.0,647876,384,1687.2,1932.0,796,5037,613.2,cudaStreamWaitEvent
0.0,552007,20,27600.3,18404.0,7308,107249,25478.0,cudaHostAlloc
0.0,480241,256,1875.9,1921.0,967,4372,631.7,cudaEventCreateWithFlags
0.0,465261,640,727.0,559.0,256,16900,857.7,cudaStreamGetCaptureInfo_v3_v12030
0.0,401229,256,1567.3,1213.0,1069,22321,2215.9,cudaEventDestroy
0.0,354127,1666,212.6,171.0,101,12336,379.3,cuKernelGetName
0.0,233079,128,1820.9,1592.0,1458,8692,998.9,cudaGetFuncBySymbol_v11000
0.0,82547,2,41273.5,41273.5,40665,41882,860.5,cuStreamCreate
0.0,8043,2,4021.5,4021.5,3125,4918,1267.8,cuProfilerStart
