Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
77.2,15125025635,2056,7356530.0,7363516.5,4128,84562638,1805471.4,cudaEventSynchronize
11.0,2155141753,303264,7106.5,6844.0,1462,163944,1200.3,cuStreamSynchronize
5.5,1087150380,303264,3584.8,3431.0,2536,7500967,14509.7,cuMemcpyAsync
1.7,329811977,34936,9440.5,8820.0,4259,104429,4266.5,cudaLaunchKernel
1.4,266518742,2488,107121.7,116084.5,13379,1230941,67310.0,cudaGraphLaunch_v10000
1.0,191986558,4,47996639.5,4178053.5,833171,182797280,89921737.6,cudaMalloc
0.7,137073186,16704,8206.0,7849.0,4685,45467,2361.9,cuLaunchKernelEx
0.4,81367765,8540,9527.8,10308.5,4017,135259,3894.5,cudaMemcpyAsync
0.3,53701344,12580,4268.8,4302.0,1846,163184,2627.1,cudaEventRecordWithFlags_v11010
0.2,39994550,303264,131.9,133.0,87,12212,102.7,cuCtxGetId
0.2,36195355,16797,2154.9,1677.0,773,48707,1551.7,cudaEventQuery
0.1,18553906,4112,4512.1,5729.0,2320,23093,2143.4,cudaEventRecord
0.1,17293352,2014,8586.6,8370.0,7850,24656,1521.0,cudaMemsetAsync
0.1,12581000,23108,544.4,393.0,268,18065,492.9,cudaStreamIsCapturing_v10000
0.1,10416967,6168,1688.9,1916.5,758,17086,935.4,cudaStreamWaitEvent
0.0,8213626,4112,1997.5,2243.0,926,30421,1249.5,cudaEventCreateWithFlags
0.0,7020678,10280,682.9,553.0,249,16466,546.5,cudaStreamGetCaptureInfo_v3_v12030
0.0,6753805,4112,1642.5,1211.0,980,520850,9340.2,cudaEventDestroy
0.0,5538963,29528,187.6,173.0,95,16144,199.1,cuKernelGetName
0.0,3318329,2056,1614.0,1561.0,1390,14502,647.7,cudaGetFuncBySymbol_v11000
0.0,1419863,52,27305.1,21061.5,7941,131037,22537.5,cudaHostAlloc
0.0,81766,2,40883.0,40883.0,39593,42173,1824.3,cuStreamCreate
0.0,6581,2,3290.5,3290.5,2710,3871,821.0,cuProfilerStart
0.0,5493,4,1373.3,1135.5,825,2397,705.1,cuLibraryGetKernel
