Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.8,780610167,2046,381529.9,381491.0,373123,390818,2736.5,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn
14.3,187191930,2050,91313.1,91265.0,90305,94145,431.8,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
7.3,95293279,2050,46484.5,46528.0,44961,48513,502.7,"void flashinfer::sampling::RadixTopKMaskLogitsKernel_MultiCTA<(unsigned int)1024, (unsigned int)4, (bool)0, float, int>(T4 *, T4 *, T5 *, unsigned int, unsigned int, unsigned int, flashinfer::sampling::RadixRowState *, unsigned int, unsigned int)"
3.4,44280947,2050,21600.5,18496.0,18048,66880,6612.3,"void flashinfer::sampling::TopPSamplingFromProbKernel<(unsigned int)1024, (cub::_V_300302_SM_800::BlockScanAlgorithm)2, (cub::_V_300302_SM_800::BlockReduceAlgorithm)2, (unsigned int)4, (bool)1, float, int>(T6 *, T7 *, bool *, T7 *, float *, float, unsigned int, unsigned long *, unsigned long, unsigned long *, unsigned long)"
3.2,42211797,2050,20591.1,19904.0,14144,31776,3644.2,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
2.0,26192603,6150,4259.0,4384.0,3744,5248,318.2,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
1.1,13788211,2050,6726.0,6656.0,5824,7840,142.5,_temperature_kernel
0.9,11886692,2050,5798.4,5824.0,4704,7328,408.2,_post_update_kernel
0.9,11738394,2050,5726.0,5696.0,4673,6976,130.4,_gather_block_tables_kernel
0.8,11053812,2050,5392.1,5376.0,3552,6369,135.6,_combine_sampled_and_draft_tokens_kernel
0.8,10580298,2050,5161.1,5152.0,3808,6080,125.8,_get_num_sampled_and_rejected_kernel
