Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
57.5,763722570,2002,381479.8,381475.0,364291,393156,2782.4,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn
14.1,187661663,2056,91275.1,91233.0,90113,93025,398.1,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
7.2,95416474,2056,46408.8,46433.0,45152,47713,442.5,"void flashinfer::sampling::RadixTopKMaskLogitsKernel_MultiCTA<(unsigned int)1024, (unsigned int)4, (bool)0, float, int>(T4 *, T4 *, T5 *, unsigned int, unsigned int, unsigned int, flashinfer::sampling::RadixRowState *, unsigned int, unsigned int)"
4.0,52521766,2056,25545.6,18592.0,18016,59168,12026.9,"void flashinfer::sampling::TopPSamplingFromProbKernel<(unsigned int)1024, (cub::_V_300302_SM_800::BlockScanAlgorithm)2, (cub::_V_300302_SM_800::BlockReduceAlgorithm)2, (unsigned int)4, (bool)1, float, int>(T6 *, T7 *, bool *, T7 *, float *, float, unsigned int, unsigned long *, unsigned long, unsigned long *, unsigned long)"
3.3,44442565,2056,21616.0,19936.0,14017,523334,16707.0,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
2.0,26352937,6168,4272.5,4416.0,3713,7584,332.5,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
1.1,13970058,2056,6794.8,6784.0,5600,10240,264.9,_temperature_kernel
1.0,12745931,2760,4618.1,4736.0,3680,6976,398.2,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.9,11832692,2056,5755.2,5760.0,4704,8352,409.4,_post_update_kernel
0.9,11763046,2056,5721.3,5696.0,4672,6688,133.6,_gather_block_tables_kernel
0.8,11054922,2056,5376.9,5376.0,3552,6208,159.5,_combine_sampled_and_draft_tokens_kernel
0.8,10596394,2056,5153.9,5152.0,3872,7360,164.7,_get_num_sampled_and_rejected_kernel
