Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
88.1,7530122493,1025,7346461.0,7358658.0,167155,8492263,240193.9,cudaEventSynchronize
3.7,316893329,33230,9536.4,8922.0,5118,414223,5166.8,cudaLaunchKernel
3.0,255346998,2266,112686.2,116277.5,34340,1254997,46848.7,cudaGraphLaunch_v10000
1.6,134978976,16620,8121.5,7893.0,5275,40409,2271.9,cuLaunchKernelEx
0.9,77951800,8414,9264.5,10054.0,3986,44354,3403.2,cudaMemcpyAsync
0.7,57168341,1,57168341.0,57168341.0,57168341,57168341,0.0,cudaProfilerStop
0.6,51388107,12514,4106.4,4174.0,1740,208591,2747.5,cudaEventRecordWithFlags_v11010
0.4,36005196,16768,2147.3,1687.0,776,79521,1594.5,cudaEventQuery
0.2,18890140,4100,4607.4,5867.0,2333,22346,2199.2,cudaEventRecord
0.2,18245856,2046,8917.8,8502.5,7928,408921,8998.1,cudaMemsetAsync
0.1,11826060,22980,514.6,384.0,271,13678,370.2,cudaStreamIsCapturing_v10000
0.1,10357722,6150,1684.2,1955.0,750,14778,742.3,cudaStreamWaitEvent
0.1,8375385,4100,2042.8,2181.5,915,334064,5307.9,cudaEventCreateWithFlags
0.1,6943203,10250,677.4,539.0,250,19984,557.2,cudaStreamGetCaptureInfo_v3_v12030
0.1,6141715,4100,1498.0,1194.0,953,222336,3503.6,cudaEventDestroy
0.1,5272020,28698,183.7,170.0,95,12123,187.0,cuKernelGetName
0.0,3294671,2050,1607.2,1568.0,1409,14763,652.5,cudaGetFuncBySymbol_v11000
0.0,1316440,2,658220.0,658220.0,610227,706213,67872.4,cudaMalloc
0.0,977230,27,36193.7,20391.0,8201,137187,34629.4,cudaHostAlloc
0.0,6618,2,3309.0,3309.0,2813,3805,701.4,cuProfilerStart
0.0,2808,2,1404.0,1404.0,1119,1689,403.1,cuLibraryGetKernel
